index,latitude,longitude,height,speed_x,speed_y,speed_z,pitch,roll,yaw,satellite_count,flight_mode,is_motor_on,is_flying,battery_percent,battery_voltage,cell_1,cell_2,cell_3,cell_4,message
79,38.13230663459583,24.3296683079607,9.5,0.42,-0.21,0.04,13.8,-25.5,-94.0,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
81,38.132319678434925,24.329661445119232,9.1,0.26,-0.09,0.06,8.700000000000001,-27.3,-95.9,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
82,38.13232376997593,24.329660158160927,9.0,0.17,-0.05,0.04,2.2,-29.400000000000002,-96.2,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
83,38.132325610420786,24.329659944769105,9.0,0.09,-0.03,0.03,0.8,-22.900000000000002,-98.60000000000001,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
84,38.132326931167896,24.329659259073306,8.8,0.06,-0.02,0.09,-2.7,-18.0,-108.4,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
86,38.13232796261494,24.329658946069348,8.700000000000001,0.01,0.0,0.0,-2.8000000000000003,-7.800000000000001,-111.10000000000001,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
87,38.13232842147566,24.329659084274173,8.700000000000001,0.01,0.0,0.0,-2.7,-8.0,-108.9,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
88,38.13232893728496,24.32965873113341,8.700000000000001,0.01,0.0,0.0,-3.0,-7.9,-101.7,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
89,38.13232925461378,24.32965839322697,8.700000000000001,0.01,0.0,0.0,-1.5,-10.0,-101.7,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
90,38.132329310568615,24.329658326924786,8.700000000000001,0.0,0.0,0.0,-1.0,-9.9,-101.9,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
91,38.13232930033192,24.32965841554554,8.700000000000001,0.0,0.0,0.01,-1.3,-9.200000000000001,-103.10000000000001,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
92,38.13232920468952,24.329658437473434,8.6,0.0,0.0,0.0,-1.3,-8.6,-104.30000000000001,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
93,38.13232906750073,24.329658535082864,8.6,0.0,0.0,0.0,-1.9000000000000001,-8.700000000000001,-104.2,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
94,38.13232903388668,24.329658559663894,8.6,0.0,0.0,0.0,-2.1,-8.3,-104.2,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
95,38.13232901038085,24.329658653155352,8.6,0.0,0.0,0.0,-2.4000000000000004,-7.9,-104.2,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
96,38.13232891628899,24.329658968186433,8.6,0.0,0.0,0.0,-2.0,-8.9,-104.2,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
97,38.13232910637449,24.329659081955874,8.700000000000001,0.0,0.0,0.0,-2.4000000000000004,-10.700000000000001,-104.10000000000001,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
98,38.13232918244294,24.329659337009392,8.700000000000001,0.0,0.0,0.0,-2.6,-10.200000000000001,-104.10000000000001,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
99,38.13232922032299,24.329659500731783,8.700000000000001,0.0,0.0,0.0,-2.9000000000000004,-10.700000000000001,-104.0,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
100,4.8685480905182457e-222,5.65590306106821e-130,8.700000000000001,0.0,0.0,0.0,-2.2,-10.700000000000001,-104.0,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
101,38.13232923264127,24.32965972823796,8.700000000000001,0.0,0.0,0.0,-2.1,-10.9,-104.10000000000001,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
102,38.13232934951944,24.32965996777535,8.8,0.0,0.0,0.0,-1.8,-10.700000000000001,-104.2,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
103,38.13232924100192,24.329660143865198,8.8,0.0,0.0,0.0,-1.8,-14.9,-104.2,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
104,38.13232902709357,24.329660446556122,8.8,-0.02,0.0,0.0,-1.9000000000000001,-19.900000000000002,-103.80000000000001,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
105,38.13232811344097,24.32966103062542,8.8,-0.06,0.01,0.0,-1.9000000000000001,-23.900000000000002,-103.2,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
106,38.13232622840744,24.329661839679925,8.8,-0.12,0.03,0.0,-1.6,-28.1,-102.5,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
107,38.13232338021754,24.329662860057226,8.8,-0.18,0.04,0.0,-0.8,-29.8,-102.10000000000001,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
108,38.132319191003056,24.329664344881134,8.8,-0.25,0.05,0.0,-0.30000000000000004,-30.0,-101.9,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
